JOB_NAME,JOB_URL,JOB_LAST_BUILD_STATUS
Dev,http://ec2-34-207-143-131.compute-1.amazonaws.com:8080/job/Dev/,
Devops,http://ec2-34-207-143-131.compute-1.amazonaws.com:8080/job/Devops/,
devops-ci,http://ec2-34-207-143-131.compute-1.amazonaws.com:8080/job/devops-ci/,blue
first-job,http://ec2-34-207-143-131.compute-1.amazonaws.com:8080/job/first-job/,blue
geo-app,http://ec2-34-207-143-131.compute-1.amazonaws.com:8080/job/geo-app/,blue
geolocation,http://ec2-34-207-143-131.compute-1.amazonaws.com:8080/job/geolocation/,blue
jenkins-pipeline,http://ec2-34-207-143-131.compute-1.amazonaws.com:8080/job/jenkins-pipeline/,blue
maven-project,http://ec2-34-207-143-131.compute-1.amazonaws.com:8080/job/maven-project/,blue
QA,http://ec2-34-207-143-131.compute-1.amazonaws.com:8080/job/QA/,
terraform-code,http://ec2-34-207-143-131.compute-1.amazonaws.com:8080/job/terraform-code/,blue
terraform-code1,http://ec2-34-207-143-131.compute-1.amazonaws.com:8080/job/terraform-code1/,blue
terraform-code2,http://ec2-34-207-143-131.compute-1.amazonaws.com:8080/job/terraform-code2/,blue
test-job,http://ec2-34-207-143-131.compute-1.amazonaws.com:8080/job/test-job/,blue
week16,http://ec2-34-207-143-131.compute-1.amazonaws.com:8080/job/week16/,
